state,plan,age,profile,rank,carrier,monthly_rate,rate_type,household_discount,latest_increase_pct,latest_increase_date,state_low,state_high,state_spread,carriers_quoting,as_of
NC,N,65,F non-tobacco,1,"Atlantic Capital Life Assur Co",78.54,attained age,no,4.9,2025-08-01,78.54,262.00,183.46,27,2026-07-15
NC,N,65,F non-tobacco,2,"Medico Ins Co",82.41,attained age,yes,3.99,2025-09-01,78.54,262.00,183.46,27,2026-07-15
NC,N,65,F non-tobacco,3,"MedMutual Protect",85.10,attained age,no,20.01,2025-11-01,78.54,262.00,183.46,27,2026-07-15
NC,N,65,F non-tobacco,4,"Humana Insurance Company",86.73,attained age,yes,8.03,2026-07-01,78.54,262.00,183.46,27,2026-07-15
NC,N,65,F non-tobacco,5,"Insurance Co of N Amer",87.11,attained age,no,,,78.54,262.00,183.46,27,2026-07-15
NC,N,70,F non-tobacco,1,"Atlantic Capital Life Assur Co",82.51,attained age,no,4.9,2025-08-01,82.51,334.00,251.49,27,2026-07-15
NC,N,70,F non-tobacco,2,"Medico Ins Co",83.24,attained age,yes,3.99,2025-09-01,82.51,334.00,251.49,27,2026-07-15
NC,N,70,F non-tobacco,3,"Insurance Co of N Amer",88.91,attained age,no,,,82.51,334.00,251.49,27,2026-07-15
NC,N,70,F non-tobacco,4,"HealthSpring Ins Co",89.27,attained age,yes,13.01,2026-04-01,82.51,334.00,251.49,27,2026-07-15
NC,N,70,F non-tobacco,5,"Humana Insurance Company",90.07,attained age,yes,8.03,2026-07-01,82.51,334.00,251.49,27,2026-07-15
NC,N,75,F non-tobacco,1,"Medico Ins Co",88.77,attained age,yes,3.99,2025-09-01,88.77,374.00,285.23,27,2026-07-15
NC,N,75,F non-tobacco,2,"Atlantic Capital Life Assur Co",98.04,attained age,no,4.9,2025-08-01,88.77,374.00,285.23,27,2026-07-15
NC,N,75,F non-tobacco,3,"Insurance Co of N Amer",105.51,attained age,no,,,88.77,374.00,285.23,27,2026-07-15
NC,N,75,F non-tobacco,4,"MedMutual Protect",106.46,attained age,no,20.01,2025-11-01,88.77,374.00,285.23,27,2026-07-15
NC,N,75,F non-tobacco,5,"HealthSpring Ins Co",106.79,attained age,yes,13.01,2026-04-01,88.77,374.00,285.23,27,2026-07-15
TX,G,65,F non-tobacco,1,"Atlantic Capital Life Assur Co",129.92,attained age,no,4.9,2025-08-01,129.92,284.86,154.94,24,2026-07-15
TX,G,65,F non-tobacco,2,"Members Hlth Ins Co",140.58,attained age,no,-7.68,2025-09-01,129.92,284.86,154.94,24,2026-07-15
TX,G,65,F non-tobacco,3,"Physicians Mutual (PSIC)",145.29,attained age,yes,17,2025-09-01,129.92,284.86,154.94,24,2026-07-15
TX,G,65,F non-tobacco,4,"UnitedHealthcare Ins Co",147.43,community rated,yes,25.66,2026-07-01,129.92,284.86,154.94,24,2026-07-15
TX,G,65,F non-tobacco,5,"HealthSpring Ins Co",158.56,attained age,yes,18.99,2026-05-01,129.92,284.86,154.94,24,2026-07-15
TX,G,70,F non-tobacco,1,"Atlantic Capital Life Assur Co",136.49,attained age,no,4.9,2025-08-01,136.49,305.26,168.77,24,2026-07-15
TX,G,70,F non-tobacco,2,"Members Hlth Ins Co",154.94,attained age,no,-7.68,2025-09-01,136.49,305.26,168.77,24,2026-07-15
TX,G,70,F non-tobacco,3,"Physicians Mutual (PSIC)",155.03,attained age,yes,17,2025-09-01,136.49,305.26,168.77,24,2026-07-15
TX,G,70,F non-tobacco,4,"HealthSpring Ins Co",163.32,attained age,yes,18.99,2026-05-01,136.49,305.26,168.77,24,2026-07-15
TX,G,70,F non-tobacco,5,"UnitedHealthcare Ins Co",165.01,community rated,yes,25.66,2026-07-01,136.49,305.26,168.77,24,2026-07-15
TX,G,75,F non-tobacco,1,"Atlantic Capital Life Assur Co",162.18,attained age,no,4.9,2025-08-01,162.18,365.34,203.16,24,2026-07-15
TX,G,75,F non-tobacco,2,"Physicians Mutual (PSIC)",177.26,attained age,yes,17,2025-09-01,162.18,365.34,203.16,24,2026-07-15
TX,G,75,F non-tobacco,3,"Medico Life and Health Ins Co",188.74,attained age,no,24.28,2026-02-01,162.18,365.34,203.16,24,2026-07-15
TX,G,75,F non-tobacco,4,"HealthSpring Ins Co",196.80,attained age,yes,18.99,2026-05-01,162.18,365.34,203.16,24,2026-07-15
TX,G,75,F non-tobacco,5,"Members Hlth Ins Co",196.88,attained age,no,-7.68,2025-09-01,162.18,365.34,203.16,24,2026-07-15
TX,N,65,F non-tobacco,1,"Atlantic Capital Life Assur Co",99.14,attained age,no,4.89,2025-08-01,99.14,243.00,143.86,23,2026-07-15
TX,N,65,F non-tobacco,2,"Members Hlth Ins Co",106.36,attained age,no,-7.67,2025-09-01,99.14,243.00,143.86,23,2026-07-15
TX,N,65,F non-tobacco,3,"HealthSpring Ins Co",106.86,attained age,yes,10.24,2026-05-01,99.14,243.00,143.86,23,2026-07-15
TX,N,65,F non-tobacco,4,"Insurance Co of N Amer",109.83,attained age,no,0,2025-09-01,99.14,243.00,143.86,23,2026-07-15
TX,N,65,F non-tobacco,5,"Washington Natl Ins Co",114.53,attained age,no,0,2026-06-19,99.14,243.00,143.86,23,2026-07-15
TX,N,70,F non-tobacco,1,"Atlantic Capital Life Assur Co",104.15,attained age,no,4.89,2025-08-01,104.15,310.00,205.85,23,2026-07-15
TX,N,70,F non-tobacco,2,"Insurance Co of N Amer",111.67,attained age,no,0,2025-09-01,104.15,310.00,205.85,23,2026-07-15
TX,N,70,F non-tobacco,3,"HealthSpring Ins Co",116.22,attained age,yes,10.24,2026-05-01,104.15,310.00,205.85,23,2026-07-15
TX,N,70,F non-tobacco,4,"Members Hlth Ins Co",117.44,attained age,no,-7.67,2025-09-01,104.15,310.00,205.85,23,2026-07-15
TX,N,70,F non-tobacco,5,"Nassau Life Insurance Company",127.52,attained age,no,7.31,2025-10-01,104.15,310.00,205.85,23,2026-07-15
TX,N,75,F non-tobacco,1,"Atlantic Capital Life Assur Co",123.75,attained age,no,4.89,2025-08-01,123.75,363.00,239.25,23,2026-07-15
TX,N,75,F non-tobacco,2,"Insurance Co of N Amer",132.50,attained age,no,0,2025-09-01,123.75,363.00,239.25,23,2026-07-15
TX,N,75,F non-tobacco,3,"HealthSpring Ins Co",137.37,attained age,yes,10.24,2026-05-01,123.75,363.00,239.25,23,2026-07-15
TX,N,75,F non-tobacco,4,"Medico Life and Health Ins Co",138.56,attained age,no,24.29,2026-02-01,123.75,363.00,239.25,23,2026-07-15
TX,N,75,F non-tobacco,5,"Members Hlth Ins Co",149.81,attained age,no,-7.67,2025-09-01,123.75,363.00,239.25,23,2026-07-15
